iter	Passed	Remaining
398	102142	25855
399	102434	25608
400	102677	25349
401	102930	25092
402	103238	24848
403	103494	24592
404	103755	24337
405	104033	24086
406	104264	23824
407	104606	23587
408	104874	23333
409	105154	23082
410	105407	22825
411	105633	22562
412	105884	22304
413	106145	22049
414	106393	21791
415	106694	21544
416	106939	21285
417	107171	21024
418	107400	20762
419	107713	20516
420	108026	20271
421	108290	20015
422	108587	19766
423	108823	19506
424	109076	19248
425	109380	19000
426	109707	18755
427	109961	18498
428	110248	18246
429	110471	17983
430	110722	17725
431	111087	17485
432	111389	17235
433	111698	16986
434	111951	16728
435	112229	16474
436	112579	16230
437	112874	15977
438	113152	15722
439	113376	15460
440	113655	15205
441	113945	14952
442	114228	14697
443	114546	14447
444	114839	14193
445	115098	13935
446	115416	13684
447	115707	13430
448	115946	13169
449	116143	12904
450	116387	12645
451	116647	12387
452	116922	12131
453	117187	11873
454	117430	11614
455	117677	11354
456	117927	11096
457	118144	10834
458	118384	10574
459	118587	10311
460	118828	10052
461	119016	9789
462	119280	9532
463	119510	9272
464	119800	9017
465	120074	8760
466	120343	8503
467	120622	8247
468	120834	7986
469	121058	7727
470	121284	7467
471	121546	7210
472	121799	6952
473	122005	6692
474	122300	6436
475	122582	6180
476	122853	5923
477	123058	5663
478	123301	5405
479	123519	5146
480	123739	4887
481	123987	4630
482	124215	4371
483	124478	4114
484	124712	3857
485	124944	3599
486	125163	3341
487	125375	3082
488	125603	2825
489	125884	2569
490	126131	2311
491	126388	2055
492	126650	1798
493	126873	1540
494	127061	1283
495	127326	1026
496	127577	770
497	127820	513
498	128072	256
499	128281	0
