iter	Logloss
0	0.6345135367
1	0.5870920155
2	0.5487618842
3	0.514283629
4	0.4843681705
5	0.4582157611
6	0.4374562042
7	0.4154341067
8	0.3987846003
9	0.3835205673
10	0.3707905814
11	0.3599541876
12	0.3498647069
13	0.3388864397
14	0.3310582888
15	0.3221252916
16	0.3158626098
17	0.3083163209
18	0.3005308829
19	0.2952635179
20	0.2913016934
21	0.2873304542
22	0.2811926301
23	0.2773312792
24	0.2742133886
25	0.2709471626
26	0.2624620963
27	0.2597877493
28	0.2573489416
29	0.2551209303
30	0.2515933298
31	0.2454857533
32	0.243166757
33	0.2415229756
34	0.2393001949
35	0.2374492759
36	0.2359567822
37	0.2328331249
38	0.2313767227
39	0.2292660367
40	0.227328234
41	0.2241043065
42	0.2218670438
43	0.2205025128
44	0.2169865863
45	0.2153160676
46	0.2140472261
47	0.2131366366
48	0.212075282
49	0.2110113792
50	0.2087645769
51	0.2080726292
52	0.2071349745
53	0.2056022685
54	0.2047172477
55	0.204073102
56	0.203355756
57	0.2025394207
58	0.2019919633
59	0.2010898947
60	0.2004691825
61	0.1997082161
62	0.1990779112
63	0.198488721
64	0.1979536125
65	0.1974125437
66	0.196676171
67	0.19610787
68	0.1954197857
69	0.1932953799
70	0.1922350575
71	0.1917349711
72	0.1901458034
73	0.1897466647
74	0.1891645298
75	0.1887883216
76	0.1882924709
77	0.1877952951
78	0.1873399776
79	0.1867665224
80	0.1862669822
81	0.1858890356
82	0.1854943599
83	0.1849149071
84	0.1846376476
85	0.1842681036
86	0.1836591988
87	0.1832479913
88	0.1820552131
89	0.1817097285
90	0.1814957241
91	0.1810985281
92	0.1802463691
93	0.1798857381
94	0.1794347933
95	0.1791719017
96	0.1788031879
97	0.1785535566
98	0.1782442207
99	0.1779118752
100	0.1775753563
101	0.1772481751
102	0.1770052669
103	0.1767495795
104	0.1763939759
105	0.1757928707
106	0.1755803955
107	0.1752765753
108	0.1748499454
109	0.1745864338
110	0.1743090594
111	0.1740983953
112	0.1737752104
113	0.1734591813
114	0.1731119163
115	0.1728569978
116	0.1724970505
117	0.172266165
118	0.1719648274
119	0.1715003462
120	0.1711514884
121	0.1709897195
122	0.1706484785
123	0.1704738777
124	0.1702899433
125	0.1700935491
126	0.1697866286
127	0.1694745453
128	0.1692934407
129	0.169130357
130	0.1686535298
131	0.1684209414
132	0.1682639313
133	0.1678771248
134	0.1676850176
135	0.1674450379
136	0.1672205941
137	0.1668956464
138	0.1666614489
139	0.1664600651
140	0.1661177034
141	0.1657748453
142	0.1655749085
143	0.1654263605
144	0.165236979
145	0.1650227718
146	0.164635507
147	0.16442503
148	0.164222082
149	0.1639726517
150	0.1636253553
151	0.1634795119
152	0.1632608964
153	0.1631037261
154	0.1629216458
155	0.1627666118
156	0.1624284469
157	0.1621973802
158	0.1619929604
159	0.1617906491
160	0.1616225986
161	0.1614562114
162	0.1611211097
163	0.1609160802
164	0.1607550143
165	0.1605009846
166	0.1603206218
167	0.1600844342
168	0.1598431167
169	0.1595477443
170	0.159371966
171	0.1590780818
172	0.158914306
173	0.1587305653
174	0.1585629908
175	0.1584698248
176	0.1582907295
177	0.1580322108
178	0.1578936746
179	0.1576877835
180	0.1575461143
181	0.1572294021
182	0.1570571753
183	0.1568292222
184	0.1566747767
185	0.1565517621
186	0.156400486
187	0.1562772462
188	0.1559799654
189	0.1558000508
190	0.1555933429
191	0.1554642715
192	0.155263852
193	0.1548317274
194	0.1544079594
195	0.154282678
196	0.1541410986
197	0.1540425566
198	0.1538836776
199	0.1537830045
200	0.1536693561
201	0.1534919322
202	0.1533887166
203	0.1532514203
204	0.1529922103
205	0.1528759183
206	0.1527047888
207	0.1524781576
208	0.152341435
209	0.15208772
210	0.1519282178
211	0.1517628912
212	0.1516254715
213	0.1514906426
214	0.1513130539
215	0.1511386586
216	0.1510208524
217	0.150866756
218	0.1504078605
219	0.1500835487
220	0.1500045683
221	0.1498979131
222	0.1497404005
223	0.1495852762
224	0.1495019308
225	0.1493532813
226	0.1492683789
227	0.1490667017
228	0.1486505827
229	0.1485201225
230	0.1483870903
231	0.1482384201
232	0.1481074554
233	0.1480075888
234	0.1478996446
235	0.1478028181
236	0.1476705747
237	0.1474863339
238	0.1473451454
239	0.1472337519
240	0.1470588841
241	0.1469451693
242	0.1467978964
243	0.1466571802
244	0.1465070181
245	0.1463603498
246	0.1462217253
247	0.1458183234
248	0.1457437567
249	0.1456171289
250	0.145459471
251	0.145259152
252	0.1449592171
253	0.1447757821
254	0.1446565015
255	0.1444752734
256	0.1443687234
257	0.1442149492
258	0.1441028703
259	0.1440037654
260	0.1438149073
261	0.1436779132
262	0.1435830515
263	0.1434491543
264	0.1433260817
265	0.1432072263
266	0.1429863458
267	0.1427446724
268	0.1424910963
269	0.1423344691
270	0.1422344893
271	0.1421364264
272	0.1420033111
273	0.1418184838
274	0.1417463735
275	0.1415845638
276	0.1414952219
277	0.1412747954
278	0.1411380527
279	0.1410305003
280	0.1409079318
281	0.1407654158
282	0.1406587482
283	0.1404326332
284	0.1403548402
285	0.140240814
286	0.1400761096
287	0.1399520622
288	0.1398100497
289	0.1395803444
290	0.1394597786
291	0.1393272088
292	0.1391490621
293	0.1390039878
294	0.1388333423
295	0.1386807718
296	0.1382795739
297	0.1380829811
298	0.1379698439
299	0.1378017655
300	0.1377082445
301	0.1375394588
302	0.1374090383
303	0.1372420467
304	0.1370909512
305	0.1369769575
306	0.1368124784
307	0.1366793681
308	0.1365076876
309	0.1363803021
310	0.1362755116
311	0.1361014087
312	0.1360064515
313	0.1359087177
314	0.1358295829
315	0.1356424986
316	0.1355134651
317	0.1353716025
318	0.1352582001
319	0.135156884
320	0.1348373943
321	0.1346179126
322	0.134451765
323	0.1343413042
324	0.1342718892
325	0.1341478004
326	0.1340067077
327	0.1338225816
328	0.133672642
329	0.1334834736
330	0.1332751937
331	0.1330836302
332	0.1329332293
333	0.1327773764
334	0.132646887
335	0.1324547349
336	0.1323272161
337	0.1322190955
338	0.1320882225
339	0.1319374168
340	0.1318262019
341	0.1316674613
342	0.131560619
343	0.1314349691
344	0.1313319781
345	0.1311854426
346	0.1310798286
347	0.1309338591
348	0.1308141148
349	0.1306994824
350	0.1305873822
351	0.1304680572
352	0.1303698218
