iter	Logloss
353	0.1302994841
354	0.1302023427
355	0.1300436063
356	0.1299236118
357	0.1298013388
358	0.1296868449
359	0.1296215257
360	0.129531469
361	0.1293816834
362	0.1293073307
363	0.1291964571
364	0.129092128
365	0.1289725258
366	0.128828267
367	0.1287330418
368	0.1283607461
369	0.1282341533
370	0.128127691
371	0.1279569419
372	0.1277938474
373	0.1277177216
374	0.1275909571
375	0.1274656638
376	0.127407925
377	0.1272723131
378	0.1271636681
379	0.127096241
380	0.1270218682
381	0.1269426414
382	0.1268619137
383	0.1267655451
384	0.1266218028
385	0.1265244872
386	0.1264039729
387	0.1263447963
388	0.126249196
389	0.1261615229
390	0.1260577883
391	0.1259404995
392	0.1258545647
393	0.1257278463
394	0.1256176718
395	0.1254971373
396	0.1253778428
397	0.1252727578
398	0.1251709262
399	0.1250088188
400	0.1248532378
401	0.1247534701
402	0.1246113707
403	0.1244691444
404	0.1243955829
405	0.1242389285
406	0.1241169253
407	0.124002981
408	0.1239025499
409	0.1238310628
410	0.1237345109
411	0.1236658195
412	0.1235788653
413	0.1234081612
414	0.1232977079
415	0.1232087668
416	0.1231163511
417	0.1230440403
418	0.1229706685
419	0.1228490958
420	0.122733881
421	0.1226351831
422	0.1224843321
423	0.1224217596
424	0.1223528683
425	0.1222248473
426	0.1220985194
427	0.1219891277
428	0.1218052951
429	0.1217199118
430	0.1216212478
431	0.1214728132
432	0.1212448917
433	0.1211407268
434	0.1210574998
435	0.1209907484
436	0.1209097844
437	0.1208432079
438	0.1207504599
439	0.1206166093
440	0.1204696066
441	0.1203753741
442	0.1202740297
443	0.1201757006
444	0.1201100917
445	0.1200464241
446	0.1199423529
447	0.1198872259
448	0.1198339368
449	0.1197906439
450	0.1197165139
451	0.1195922694
452	0.1195373472
453	0.1194238387
454	0.1193155937
455	0.1192322868
456	0.1191462068
457	0.1190325011
458	0.1189663372
459	0.1189037619
460	0.1187886181
461	0.1187509755
462	0.1186344167
463	0.1185629608
464	0.1184165127
465	0.1182739956
466	0.1181682586
467	0.1180473937
468	0.1179850447
469	0.1179044512
470	0.1178197378
471	0.1177295743
472	0.1176163921
473	0.1175538252
474	0.1174973833
475	0.1174071604
476	0.1172618575
477	0.117174463
478	0.1170730828
479	0.1170192791
480	0.1169504776
481	0.1168376985
482	0.1167413398
483	0.1166625598
484	0.1166034658
485	0.1165323902
486	0.1164115427
487	0.1163587286
488	0.1162914851
489	0.1161492776
490	0.1160732265
491	0.1159603627
492	0.1158550891
493	0.1158134055
494	0.1157626971
495	0.1156415982
496	0.1155373631
497	0.1154006873
498	0.1153112244
499	0.1152378536
